"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"552","Ealing, London","0","Hillingdon, 00AS (0)","3/1/2020 - 3/31/2020, Every day, Daily Average",1228,962,1566
"552","Ealing, London","2","Newham, 00BB (2)","3/1/2020 - 3/31/2020, Every day, Daily Average",3263,2555,4166
"552","Ealing, London","4","Newham, 00BB (4)","3/1/2020 - 3/31/2020, Every day, Daily Average",3194,2516,4053
"552","Ealing, London","7","Richmond upon Thames, 00BD (7)","3/1/2020 - 3/31/2020, Every day, Daily Average",1824,1343,2476
"552","Ealing, London","8","Richmond upon Thames, 00BD (8)","3/1/2020 - 3/31/2020, Every day, Daily Average",1915,1505,2436
"552","Ealing, London","14","Redbridge, 00BC (14)","3/1/2020 - 3/31/2020, Every day, Daily Average",2212,1846,2649
"552","Ealing, London","18","Westminster, 00BK (18)","3/1/2020 - 3/31/2020, Every day, Daily Average",1200,898,1603
"552","Ealing, London","19","Westminster, 00BK (19)","3/1/2020 - 3/31/2020, Every day, Daily Average",1347,1012,1791
"552","Ealing, London","20","Westminster, 00BK (20)","3/1/2020 - 3/31/2020, Every day, Daily Average",1326,1072,1640
"552","Ealing, London","21","City of London, 00AA (21)","3/1/2020 - 3/31/2020, Every day, Daily Average",2719,1964,3764
"552","Ealing, London","36","Barking and Dagenham, 00AB (36)","3/1/2020 - 3/31/2020, Every day, Daily Average",2514,2079,3039
"552","Ealing, London","43","Barnet, 00AC (43)","3/1/2020 - 3/31/2020, Every day, Daily Average",1272,933,1733
"552","Ealing, London","44","Barnet, 00AC (44)","3/1/2020 - 3/31/2020, Every day, Daily Average",1573,1263,1957
"552","Ealing, London","46","Barnet, 00AC (46)","3/1/2020 - 3/31/2020, Every day, Daily Average",1679,1247,2259
"552","Ealing, London","47","Barnet, 00AC (47)","3/1/2020 - 3/31/2020, Every day, Daily Average",1444,1158,1799
"552","Ealing, London","48","Barnet, 00AC (48)","3/1/2020 - 3/31/2020, Every day, Daily Average",1465,1166,1840
"552","Ealing, London","49","Barnet, 00AC (49)","3/1/2020 - 3/31/2020, Every day, Daily Average",1199,898,1600
"552","Ealing, London","50","Barnet, 00AC (50)","3/1/2020 - 3/31/2020, Every day, Daily Average",1211,906,1617
"552","Ealing, London","51","Barnet, 00AC (51)","3/1/2020 - 3/31/2020, Every day, Daily Average",1273,1000,1619
"552","Ealing, London","52","Barnet, 00AC (52)","3/1/2020 - 3/31/2020, Every day, Daily Average",1134,823,1562
"552","Ealing, London","53","Barnet, 00AC (53)","3/1/2020 - 3/31/2020, Every day, Daily Average",1463,1170,1827
"552","Ealing, London","54","Barnet, 00AC (54)","3/1/2020 - 3/31/2020, Every day, Daily Average",1607,1216,2122
"552","Ealing, London","55","Barnet, 00AC (55)","3/1/2020 - 3/31/2020, Every day, Daily Average",1348,1076,1688
"552","Ealing, London","56","Barnet, 00AC (56)","3/1/2020 - 3/31/2020, Every day, Daily Average",1395,1056,1841
"552","Ealing, London","58","Barnet, 00AC (58)","3/1/2020 - 3/31/2020, Every day, Daily Average",1200,954,1508
"552","Ealing, London","59","Barnet, 00AC (59)","3/1/2020 - 3/31/2020, Every day, Daily Average",1150,900,1468
"552","Ealing, London","60","Barnet, 00AC (60)","3/1/2020 - 3/31/2020, Every day, Daily Average",1347,953,1902
"552","Ealing, London","61","Barnet, 00AC (61)","3/1/2020 - 3/31/2020, Every day, Daily Average",1096,822,1460
"552","Ealing, London","62","Barnet, 00AC (62)","3/1/2020 - 3/31/2020, Every day, Daily Average",1408,1047,1891
"552","Ealing, London","63","Barnet, 00AC (63)","3/1/2020 - 3/31/2020, Every day, Daily Average",1160,885,1520
"552","Ealing, London","64","Brent, 00AE (64)","3/1/2020 - 3/31/2020, Every day, Daily Average",1136,755,1707
"552","Ealing, London","83","Camden, 00AG (83)","3/1/2020 - 3/31/2020, Every day, Daily Average",1409,1016,1952
"552","Ealing, London","85","Camden, 00AG (85)","3/1/2020 - 3/31/2020, Every day, Daily Average",1511,1208,1889
"552","Ealing, London","86","Camden, 00AG (86)","3/1/2020 - 3/31/2020, Every day, Daily Average",1861,1435,2413
"552","Ealing, London","106","Camden, 00AG (106)","3/1/2020 - 3/31/2020, Every day, Daily Average",1852,1319,2598
"552","Ealing, London","116","Enfield, 00AK (116)","3/1/2020 - 3/31/2020, Every day, Daily Average",1932,1654,2255
"552","Ealing, London","119","Enfield, 00AK (119)","3/1/2020 - 3/31/2020, Every day, Daily Average",1985,1568,2512
"552","Ealing, London","120","Enfield, 00AK (120)","3/1/2020 - 3/31/2020, Every day, Daily Average",2007,1573,2560
"552","Ealing, London","123","Enfield, 00AK (123)","3/1/2020 - 3/31/2020, Every day, Daily Average",1789,1465,2183
"552","Ealing, London","124","Enfield, 00AK (124)","3/1/2020 - 3/31/2020, Every day, Daily Average",1719,1363,2167
"552","Ealing, London","125","Enfield, 00AK (125)","3/1/2020 - 3/31/2020, Every day, Daily Average",1866,1467,2372
"552","Ealing, London","126","Enfield, 00AK (126)","3/1/2020 - 3/31/2020, Every day, Daily Average",1863,1496,2319
"552","Ealing, London","130","Enfield, 00AK (130)","3/1/2020 - 3/31/2020, Every day, Daily Average",1838,1390,2429
"552","Ealing, London","131","Enfield, 00AK (131)","3/1/2020 - 3/31/2020, Every day, Daily Average",1823,1404,2366
"552","Ealing, London","132","Enfield, 00AK (132)","3/1/2020 - 3/31/2020, Every day, Daily Average",1483,1136,1935
"552","Ealing, London","133","Enfield, 00AK (133)","3/1/2020 - 3/31/2020, Every day, Daily Average",1689,1335,2135
"552","Ealing, London","134","Enfield, 00AK (134)","3/1/2020 - 3/31/2020, Every day, Daily Average",1921,1491,2474
"552","Ealing, London","135","Enfield, 00AK (135)","3/1/2020 - 3/31/2020, Every day, Daily Average",1711,1321,2215
"552","Ealing, London","136","Enfield, 00AK (136)","3/1/2020 - 3/31/2020, Every day, Daily Average",1361,1057,1750
"552","Ealing, London","137","Enfield, 00AK (137)","3/1/2020 - 3/31/2020, Every day, Daily Average",1873,1433,2447
"552","Ealing, London","138","Enfield, 00AK (138)","3/1/2020 - 3/31/2020, Every day, Daily Average",1780,1377,2300
"552","Ealing, London","139","Enfield, 00AK (139)","3/1/2020 - 3/31/2020, Every day, Daily Average",1654,1260,2170
"552","Ealing, London","140","Enfield, 00AK (140)","3/1/2020 - 3/31/2020, Every day, Daily Average",1557,1193,2031
"552","Ealing, London","147","Hackney, 00AM (147)","3/1/2020 - 3/31/2020, Every day, Daily Average",2496,2060,3022
"552","Ealing, London","152","Hackney, 00AM (152)","3/1/2020 - 3/31/2020, Every day, Daily Average",2821,2124,3745
"552","Ealing, London","157","Hackney, 00AM (157)","3/1/2020 - 3/31/2020, Every day, Daily Average",2545,1896,3415
"552","Ealing, London","158","Hammersmith and Fulham, 00AN (158)","3/1/2020 - 3/31/2020, Every day, Daily Average",830,578,1190
