"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"603","Enfield, UK","2","Newham, 00BB (2)","3/1/2020 - 3/31/2020, Every day, Daily Average",2092,1796,2436
"603","Enfield, UK","4","Newham, 00BB (4)","3/1/2020 - 3/31/2020, Every day, Daily Average",2034,1726,2395
"603","Enfield, UK","21","City of London, 00AA (21)","3/1/2020 - 3/31/2020, Every day, Daily Average",2726,2140,3472
"603","Enfield, UK","36","Barking and Dagenham, 00AB (36)","3/1/2020 - 3/31/2020, Every day, Daily Average",1729,1402,2131
"603","Enfield, UK","42","Barnet, 00AC (42)","3/1/2020 - 3/31/2020, Every day, Daily Average",727,564,935
"603","Enfield, UK","43","Barnet, 00AC (43)","3/1/2020 - 3/31/2020, Every day, Daily Average",1202,935,1544
"603","Enfield, UK","44","Barnet, 00AC (44)","3/1/2020 - 3/31/2020, Every day, Daily Average",991,766,1281
"603","Enfield, UK","45","Barnet, 00AC (45)","3/1/2020 - 3/31/2020, Every day, Daily Average",797,589,1078
"603","Enfield, UK","46","Barnet, 00AC (46)","3/1/2020 - 3/31/2020, Every day, Daily Average",968,708,1322
"603","Enfield, UK","47","Barnet, 00AC (47)","3/1/2020 - 3/31/2020, Every day, Daily Average",1067,782,1454
"603","Enfield, UK","48","Barnet, 00AC (48)","3/1/2020 - 3/31/2020, Every day, Daily Average",1208,927,1573
"603","Enfield, UK","49","Barnet, 00AC (49)","3/1/2020 - 3/31/2020, Every day, Daily Average",1502,1152,1957
"603","Enfield, UK","50","Barnet, 00AC (50)","3/1/2020 - 3/31/2020, Every day, Daily Average",1759,1383,2236
"603","Enfield, UK","51","Barnet, 00AC (51)","3/1/2020 - 3/31/2020, Every day, Daily Average",1179,904,1537
"603","Enfield, UK","52","Barnet, 00AC (52)","3/1/2020 - 3/31/2020, Every day, Daily Average",1514,1190,1925
"603","Enfield, UK","54","Barnet, 00AC (54)","3/1/2020 - 3/31/2020, Every day, Daily Average",1768,1388,2251
"603","Enfield, UK","55","Barnet, 00AC (55)","3/1/2020 - 3/31/2020, Every day, Daily Average",1363,1068,1739
"603","Enfield, UK","58","Barnet, 00AC (58)","3/1/2020 - 3/31/2020, Every day, Daily Average",1246,983,1579
"603","Enfield, UK","59","Barnet, 00AC (59)","3/1/2020 - 3/31/2020, Every day, Daily Average",1677,1326,2119
"603","Enfield, UK","61","Barnet, 00AC (61)","3/1/2020 - 3/31/2020, Every day, Daily Average",1722,1427,2077
"603","Enfield, UK","62","Barnet, 00AC (62)","3/1/2020 - 3/31/2020, Every day, Daily Average",1495,1169,1911
"603","Enfield, UK","85","Camden, 00AG (85)","3/1/2020 - 3/31/2020, Every day, Daily Average",2406,1868,3098
"603","Enfield, UK","116","Enfield, 00AK (116)","3/1/2020 - 3/31/2020, Every day, Daily Average",423,243,734
"603","Enfield, UK","117","Enfield, 00AK (117)","3/1/2020 - 3/31/2020, Every day, Daily Average",334,202,551
"603","Enfield, UK","118","Enfield, 00AK (118)","3/1/2020 - 3/31/2020, Every day, Daily Average",699,469,1040
"603","Enfield, UK","119","Enfield, 00AK (119)","3/1/2020 - 3/31/2020, Every day, Daily Average",164,54,495
"603","Enfield, UK","120","Enfield, 00AK (120)","3/1/2020 - 3/31/2020, Every day, Daily Average",335,177,632
"603","Enfield, UK","121","Enfield, 00AK (121)","3/1/2020 - 3/31/2020, Every day, Daily Average",261,117,578
"603","Enfield, UK","122","Enfield, 00AK (122)","3/1/2020 - 3/31/2020, Every day, Daily Average",714,464,1096
"603","Enfield, UK","123","Enfield, 00AK (123)","3/1/2020 - 3/31/2020, Every day, Daily Average",548,393,762
"603","Enfield, UK","124","Enfield, 00AK (124)","3/1/2020 - 3/31/2020, Every day, Daily Average",548,369,811
"603","Enfield, UK","125","Enfield, 00AK (125)","3/1/2020 - 3/31/2020, Every day, Daily Average",441,294,659
"603","Enfield, UK","126","Enfield, 00AK (126)","3/1/2020 - 3/31/2020, Every day, Daily Average",421,275,643
"603","Enfield, UK","127","Enfield, 00AK (127)","3/1/2020 - 3/31/2020, Every day, Daily Average",844,610,1167
"603","Enfield, UK","128","Enfield, 00AK (128)","3/1/2020 - 3/31/2020, Every day, Daily Average",653,467,912
"603","Enfield, UK","129","Enfield, 00AK (129)","3/1/2020 - 3/31/2020, Every day, Daily Average",904,627,1301
"603","Enfield, UK","130","Enfield, 00AK (130)","3/1/2020 - 3/31/2020, Every day, Daily Average",577,422,788
"603","Enfield, UK","131","Enfield, 00AK (131)","3/1/2020 - 3/31/2020, Every day, Daily Average",696,490,987
"603","Enfield, UK","132","Enfield, 00AK (132)","3/1/2020 - 3/31/2020, Every day, Daily Average",829,628,1093
"603","Enfield, UK","133","Enfield, 00AK (133)","3/1/2020 - 3/31/2020, Every day, Daily Average",686,516,910
"603","Enfield, UK","134","Enfield, 00AK (134)","3/1/2020 - 3/31/2020, Every day, Daily Average",971,706,1334
"603","Enfield, UK","135","Enfield, 00AK (135)","3/1/2020 - 3/31/2020, Every day, Daily Average",718,522,985
"603","Enfield, UK","136","Enfield, 00AK (136)","3/1/2020 - 3/31/2020, Every day, Daily Average",1032,788,1350
"603","Enfield, UK","137","Enfield, 00AK (137)","3/1/2020 - 3/31/2020, Every day, Daily Average",1019,754,1377
"603","Enfield, UK","138","Enfield, 00AK (138)","3/1/2020 - 3/31/2020, Every day, Daily Average",879,632,1220
"603","Enfield, UK","139","Enfield, 00AK (139)","3/1/2020 - 3/31/2020, Every day, Daily Average",837,624,1121
"603","Enfield, UK","140","Enfield, 00AK (140)","3/1/2020 - 3/31/2020, Every day, Daily Average",889,670,1179
"603","Enfield, UK","146","Hackney, 00AM (146)","3/1/2020 - 3/31/2020, Every day, Daily Average",1632,1225,2174
"603","Enfield, UK","147","Hackney, 00AM (147)","3/1/2020 - 3/31/2020, Every day, Daily Average",1554,1231,1960
"603","Enfield, UK","148","Hackney, 00AM (148)","3/1/2020 - 3/31/2020, Every day, Daily Average",1865,1471,2364
"603","Enfield, UK","149","Hackney, 00AM (149)","3/1/2020 - 3/31/2020, Every day, Daily Average",1648,1261,2152
"603","Enfield, UK","151","Hackney, 00AM (151)","3/1/2020 - 3/31/2020, Every day, Daily Average",1717,1340,2199
