"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"160","London Borough of Hammersmith and Fulham, London","2","Newham, 00BB (2)","3/1/2020 - 3/31/2020, Every day, Daily Average",3396,2541,4537
"160","London Borough of Hammersmith and Fulham, London","6","Lambeth, 00AY (6)","3/1/2020 - 3/31/2020, Every day, Daily Average",2228,1683,2948
"160","London Borough of Hammersmith and Fulham, London","8","Richmond upon Thames, 00BD (8)","3/1/2020 - 3/31/2020, Every day, Daily Average",1947,1562,2425
"160","London Borough of Hammersmith and Fulham, London","17","Wandsworth, 00BJ (17)","3/1/2020 - 3/31/2020, Every day, Daily Average",1938,1385,2709
"160","London Borough of Hammersmith and Fulham, London","18","Westminster, 00BK (18)","3/1/2020 - 3/31/2020, Every day, Daily Average",857,612,1199
"160","London Borough of Hammersmith and Fulham, London","19","Westminster, 00BK (19)","3/1/2020 - 3/31/2020, Every day, Daily Average",973,698,1355
"160","London Borough of Hammersmith and Fulham, London","20","Westminster, 00BK (20)","3/1/2020 - 3/31/2020, Every day, Daily Average",1032,753,1413
"160","London Borough of Hammersmith and Fulham, London","21","City of London, 00AA (21)","3/1/2020 - 3/31/2020, Every day, Daily Average",2331,1672,3248
"160","London Borough of Hammersmith and Fulham, London","43","Barnet, 00AC (43)","3/1/2020 - 3/31/2020, Every day, Daily Average",2240,1681,2984
"160","London Borough of Hammersmith and Fulham, London","49","Barnet, 00AC (49)","3/1/2020 - 3/31/2020, Every day, Daily Average",1975,1577,2473
"160","London Borough of Hammersmith and Fulham, London","50","Barnet, 00AC (50)","3/1/2020 - 3/31/2020, Every day, Daily Average",1975,1606,2428
"160","London Borough of Hammersmith and Fulham, London","51","Barnet, 00AC (51)","3/1/2020 - 3/31/2020, Every day, Daily Average",2171,1633,2885
"160","London Borough of Hammersmith and Fulham, London","52","Barnet, 00AC (52)","3/1/2020 - 3/31/2020, Every day, Daily Average",1943,1500,2516
"160","London Borough of Hammersmith and Fulham, London","58","Barnet, 00AC (58)","3/1/2020 - 3/31/2020, Every day, Daily Average",2065,1575,2706
"160","London Borough of Hammersmith and Fulham, London","61","Barnet, 00AC (61)","3/1/2020 - 3/31/2020, Every day, Daily Average",2018,1493,2726
"160","London Borough of Hammersmith and Fulham, London","64","Brent, 00AE (64)","3/1/2020 - 3/31/2020, Every day, Daily Average",847,629,1138
"160","London Borough of Hammersmith and Fulham, London","65","Brent, 00AE (65)","3/1/2020 - 3/31/2020, Every day, Daily Average",1025,776,1353
"160","London Borough of Hammersmith and Fulham, London","83","Camden, 00AG (83)","3/1/2020 - 3/31/2020, Every day, Daily Average",1301,1046,1618
"160","London Borough of Hammersmith and Fulham, London","84","Camden, 00AG (84)","3/1/2020 - 3/31/2020, Every day, Daily Average",1325,1060,1655
"160","London Borough of Hammersmith and Fulham, London","85","Camden, 00AG (85)","3/1/2020 - 3/31/2020, Every day, Daily Average",1404,1084,1817
"160","London Borough of Hammersmith and Fulham, London","86","Camden, 00AG (86)","3/1/2020 - 3/31/2020, Every day, Daily Average",1529,1162,2011
"160","London Borough of Hammersmith and Fulham, London","96","Greenwich, 00AL (96)","3/1/2020 - 3/31/2020, Every day, Daily Average",2840,2116,3810
"160","London Borough of Hammersmith and Fulham, London","106","Camden, 00AG (106)","3/1/2020 - 3/31/2020, Every day, Daily Average",1613,1081,2406
"160","London Borough of Hammersmith and Fulham, London","131","Enfield, 00AK (131)","3/1/2020 - 3/31/2020, Every day, Daily Average",2580,2033,3273
"160","London Borough of Hammersmith and Fulham, London","132","Enfield, 00AK (132)","3/1/2020 - 3/31/2020, Every day, Daily Average",2230,1761,2822
"160","London Borough of Hammersmith and Fulham, London","134","Enfield, 00AK (134)","3/1/2020 - 3/31/2020, Every day, Daily Average",2619,2104,3258
"160","London Borough of Hammersmith and Fulham, London","135","Enfield, 00AK (135)","3/1/2020 - 3/31/2020, Every day, Daily Average",2503,1968,3182
"160","London Borough of Hammersmith and Fulham, London","136","Enfield, 00AK (136)","3/1/2020 - 3/31/2020, Every day, Daily Average",2108,1665,2668
"160","London Borough of Hammersmith and Fulham, London","137","Enfield, 00AK (137)","3/1/2020 - 3/31/2020, Every day, Daily Average",2612,2076,3285
"160","London Borough of Hammersmith and Fulham, London","138","Enfield, 00AK (138)","3/1/2020 - 3/31/2020, Every day, Daily Average",2558,2015,3245
"160","London Borough of Hammersmith and Fulham, London","139","Enfield, 00AK (139)","3/1/2020 - 3/31/2020, Every day, Daily Average",2431,1907,3097
"160","London Borough of Hammersmith and Fulham, London","140","Enfield, 00AK (140)","3/1/2020 - 3/31/2020, Every day, Daily Average",2300,1810,2921
