"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"759","London Borough of Lewisham, UK","2","Newham, 00BB (2)","3/1/2020 - 3/31/2020, Every day, Daily Average",1817,1361,2424
"759","London Borough of Lewisham, UK","4","Newham, 00BB (4)","3/1/2020 - 3/31/2020, Every day, Daily Average",1983,1515,2594
"759","London Borough of Lewisham, UK","6","Lambeth, 00AY (6)","3/1/2020 - 3/31/2020, Every day, Daily Average",1661,1357,2032
"759","London Borough of Lewisham, UK","9","Southwark, 00BE (9)","3/1/2020 - 3/31/2020, Every day, Daily Average",1193,794,1791
"759","London Borough of Lewisham, UK","10","Newham, 00BB (10)","3/1/2020 - 3/31/2020, Every day, Daily Average",1999,1542,2590
"759","London Borough of Lewisham, UK","15","Wandsworth, 00BJ (15)","3/1/2020 - 3/31/2020, Every day, Daily Average",1873,1449,2420
"759","London Borough of Lewisham, UK","16","Southwark, 00BE (16)","3/1/2020 - 3/31/2020, Every day, Daily Average",1151,801,1652
"759","London Borough of Lewisham, UK","17","Wandsworth, 00BJ (17)","3/1/2020 - 3/31/2020, Every day, Daily Average",1938,1545,2430
"759","London Borough of Lewisham, UK","21","City of London, 00AA (21)","3/1/2020 - 3/31/2020, Every day, Daily Average",2137,1642,2780
"759","London Borough of Lewisham, UK","66","Bromley, 00AF (66)","3/1/2020 - 3/31/2020, Every day, Daily Average",954,680,1338
"759","London Borough of Lewisham, UK","67","Bromley, 00AF (67)","3/1/2020 - 3/31/2020, Every day, Daily Average",1064,767,1475
"759","London Borough of Lewisham, UK","68","Bromley, 00AF (68)","3/1/2020 - 3/31/2020, Every day, Daily Average",369,253,536
"759","London Borough of Lewisham, UK","69","Bromley, 00AF (69)","3/1/2020 - 3/31/2020, Every day, Daily Average",786,556,1110
"759","London Borough of Lewisham, UK","70","Bromley, 00AF (70)","3/1/2020 - 3/31/2020, Every day, Daily Average",1026,754,1395
"759","London Borough of Lewisham, UK","71","Bromley, 00AF (71)","3/1/2020 - 3/31/2020, Every day, Daily Average",479,329,696
"759","London Borough of Lewisham, UK","72","Bromley, 00AF (72)","3/1/2020 - 3/31/2020, Every day, Daily Average",850,637,1132
"759","London Borough of Lewisham, UK","73","Bromley, 00AF (73)","3/1/2020 - 3/31/2020, Every day, Daily Average",476,330,685
"759","London Borough of Lewisham, UK","74","Bromley, 00AF (74)","3/1/2020 - 3/31/2020, Every day, Daily Average",954,717,1267
"759","London Borough of Lewisham, UK","75","Bromley, 00AF (75)","3/1/2020 - 3/31/2020, Every day, Daily Average",1312,1040,1654
"759","London Borough of Lewisham, UK","76","Bromley, 00AF (76)","3/1/2020 - 3/31/2020, Every day, Daily Average",440,287,672
"759","London Borough of Lewisham, UK","77","Bromley, 00AF (77)","3/1/2020 - 3/31/2020, Every day, Daily Average",500,350,712
