"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"895","London Borough of Redbridge, UK","1","Newham, 00BB (1)","3/1/2020 - 3/31/2020, Every day, Daily Average",1222,872,1711
"895","London Borough of Redbridge, UK","2","Newham, 00BB (2)","3/1/2020 - 3/31/2020, Every day, Daily Average",1398,1080,1807
"895","London Borough of Redbridge, UK","4","Newham, 00BB (4)","3/1/2020 - 3/31/2020, Every day, Daily Average",1320,1010,1724
"895","London Borough of Redbridge, UK","10","Newham, 00BB (10)","3/1/2020 - 3/31/2020, Every day, Daily Average",1215,968,1524
"895","London Borough of Redbridge, UK","11","Redbridge, 00BC (11)","3/1/2020 - 3/31/2020, Every day, Daily Average",824,544,1246
"895","London Borough of Redbridge, UK","12","Redbridge, 00BC (12)","3/1/2020 - 3/31/2020, Every day, Daily Average",284,150,536
"895","London Borough of Redbridge, UK","13","Redbridge, 00BC (13)","3/1/2020 - 3/31/2020, Every day, Daily Average",177,51,613
"895","London Borough of Redbridge, UK","14","Redbridge, 00BC (14)","3/1/2020 - 3/31/2020, Every day, Daily Average",580,343,979
"895","London Borough of Redbridge, UK","21","City of London, 00AA (21)","3/1/2020 - 3/31/2020, Every day, Daily Average",2599,2070,3261
"895","London Borough of Redbridge, UK","22","Barking and Dagenham, 00AB (22)","3/1/2020 - 3/31/2020, Every day, Daily Average",626,461,849
"895","London Borough of Redbridge, UK","23","Barking and Dagenham, 00AB (23)","3/1/2020 - 3/31/2020, Every day, Daily Average",727,536,985
"895","London Borough of Redbridge, UK","25","Barking and Dagenham, 00AB (25)","3/1/2020 - 3/31/2020, Every day, Daily Average",1057,814,1371
"895","London Borough of Redbridge, UK","26","Barking and Dagenham, 00AB (26)","3/1/2020 - 3/31/2020, Every day, Daily Average",887,677,1161
"895","London Borough of Redbridge, UK","27","Barking and Dagenham, 00AB (27)","3/1/2020 - 3/31/2020, Every day, Daily Average",1180,907,1533
"895","London Borough of Redbridge, UK","28","Barking and Dagenham, 00AB (28)","3/1/2020 - 3/31/2020, Every day, Daily Average",1077,778,1489
"895","London Borough of Redbridge, UK","29","Barking and Dagenham, 00AB (29)","3/1/2020 - 3/31/2020, Every day, Daily Average",1106,804,1520
"895","London Borough of Redbridge, UK","33","Barking and Dagenham, 00AB (33)","3/1/2020 - 3/31/2020, Every day, Daily Average",1247,896,1735
