"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"573","Camden, 00AG (573)","0","Hillingdon, 00AS (0)","3/1/2020 - 3/31/2020, Every day, Daily Average",2511,1994,3160
"573","Camden, 00AG (573)","1","Newham, 00BB (1)","3/1/2020 - 3/31/2020, Every day, Daily Average",2376,1772,3184
"573","Camden, 00AG (573)","2","Newham, 00BB (2)","3/1/2020 - 3/31/2020, Every day, Daily Average",1776,1323,2384
"573","Camden, 00AG (573)","3","Newham, 00BB (3)","3/1/2020 - 3/31/2020, Every day, Daily Average",2268,1609,3195
"573","Camden, 00AG (573)","4","Newham, 00BB (4)","3/1/2020 - 3/31/2020, Every day, Daily Average",1834,1377,2442
"573","Camden, 00AG (573)","5","Lambeth, 00AY (5)","3/1/2020 - 3/31/2020, Every day, Daily Average",1246,952,1630
"573","Camden, 00AG (573)","6","Lambeth, 00AY (6)","3/1/2020 - 3/31/2020, Every day, Daily Average",1360,1044,1769
"573","Camden, 00AG (573)","7","Richmond upon Thames, 00BD (7)","3/1/2020 - 3/31/2020, Every day, Daily Average",3177,2523,3999
"573","Camden, 00AG (573)","8","Richmond upon Thames, 00BD (8)","3/1/2020 - 3/31/2020, Every day, Daily Average",3512,2730,4517
"573","Camden, 00AG (573)","9","Southwark, 00BE (9)","3/1/2020 - 3/31/2020, Every day, Daily Average",1717,1352,2179
"573","Camden, 00AG (573)","10","Newham, 00BB (10)","3/1/2020 - 3/31/2020, Every day, Daily Average",1871,1437,2435
"573","Camden, 00AG (573)","11","Redbridge, 00BC (11)","3/1/2020 - 3/31/2020, Every day, Daily Average",2750,2154,3510
"573","Camden, 00AG (573)","14","Redbridge, 00BC (14)","3/1/2020 - 3/31/2020, Every day, Daily Average",2607,1989,3415
"573","Camden, 00AG (573)","15","Wandsworth, 00BJ (15)","3/1/2020 - 3/31/2020, Every day, Daily Average",2341,1869,2932
"573","Camden, 00AG (573)","16","Southwark, 00BE (16)","3/1/2020 - 3/31/2020, Every day, Daily Average",1792,1404,2287
"573","Camden, 00AG (573)","17","Wandsworth, 00BJ (17)","3/1/2020 - 3/31/2020, Every day, Daily Average",2021,1547,2638
"573","Camden, 00AG (573)","18","Westminster, 00BK (18)","3/1/2020 - 3/31/2020, Every day, Daily Average",1206,869,1671
"573","Camden, 00AG (573)","19","Westminster, 00BK (19)","3/1/2020 - 3/31/2020, Every day, Daily Average",1176,834,1657
"573","Camden, 00AG (573)","20","Westminster, 00BK (20)","3/1/2020 - 3/31/2020, Every day, Daily Average",1085,771,1525
"573","Camden, 00AG (573)","21","City of London, 00AA (21)","3/1/2020 - 3/31/2020, Every day, Daily Average",496,247,994
"573","Camden, 00AG (573)","22","Barking and Dagenham, 00AB (22)","3/1/2020 - 3/31/2020, Every day, Daily Average",2967,2273,3871
"573","Camden, 00AG (573)","23","Barking and Dagenham, 00AB (23)","3/1/2020 - 3/31/2020, Every day, Daily Average",2939,2288,3774
"573","Camden, 00AG (573)","25","Barking and Dagenham, 00AB (25)","3/1/2020 - 3/31/2020, Every day, Daily Average",2591,2104,3190
"573","Camden, 00AG (573)","27","Barking and Dagenham, 00AB (27)","3/1/2020 - 3/31/2020, Every day, Daily Average",2571,2148,3076
"573","Camden, 00AG (573)","28","Barking and Dagenham, 00AB (28)","3/1/2020 - 3/31/2020, Every day, Daily Average",2512,2041,3090
"573","Camden, 00AG (573)","29","Barking and Dagenham, 00AB (29)","3/1/2020 - 3/31/2020, Every day, Daily Average",2432,1907,3101
"573","Camden, 00AG (573)","32","Barking and Dagenham, 00AB (32)","3/1/2020 - 3/31/2020, Every day, Daily Average",2456,1906,3163
"573","Camden, 00AG (573)","33","Barking and Dagenham, 00AB (33)","3/1/2020 - 3/31/2020, Every day, Daily Average",2359,1854,3000
"573","Camden, 00AG (573)","35","Barking and Dagenham, 00AB (35)","3/1/2020 - 3/31/2020, Every day, Daily Average",2414,2006,2904
"573","Camden, 00AG (573)","36","Barking and Dagenham, 00AB (36)","3/1/2020 - 3/31/2020, Every day, Daily Average",2118,1604,2796
"573","Camden, 00AG (573)","37","Barking and Dagenham, 00AB (37)","3/1/2020 - 3/31/2020, Every day, Daily Average",2345,1789,3073
"573","Camden, 00AG (573)","38","Barking and Dagenham, 00AB (38)","3/1/2020 - 3/31/2020, Every day, Daily Average",2153,1593,2909
