"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"364","Big Ben Clock, 67 Bridge St, London","0","Hillingdon, 00AS (0)","3/1/2020 - 3/31/2020, Every day, Daily Average",2581,2124,3134
"364","Big Ben Clock, 67 Bridge St, London","1","Newham, 00BB (1)","3/1/2020 - 3/31/2020, Every day, Daily Average",2231,1718,2896
"364","Big Ben Clock, 67 Bridge St, London","2","Newham, 00BB (2)","3/1/2020 - 3/31/2020, Every day, Daily Average",1634,1173,2274
"364","Big Ben Clock, 67 Bridge St, London","3","Newham, 00BB (3)","3/1/2020 - 3/31/2020, Every day, Daily Average",2122,1551,2901
"364","Big Ben Clock, 67 Bridge St, London","4","Newham, 00BB (4)","3/1/2020 - 3/31/2020, Every day, Daily Average",1678,1222,2302
"364","Big Ben Clock, 67 Bridge St, London","5","Lambeth, 00AY (5)","3/1/2020 - 3/31/2020, Every day, Daily Average",691,515,925
"364","Big Ben Clock, 67 Bridge St, London","6","Lambeth, 00AY (6)","3/1/2020 - 3/31/2020, Every day, Daily Average",841,639,1106
"364","Big Ben Clock, 67 Bridge St, London","7","Richmond upon Thames, 00BD (7)","3/1/2020 - 3/31/2020, Every day, Daily Average",2384,1907,2980
"364","Big Ben Clock, 67 Bridge St, London","8","Richmond upon Thames, 00BD (8)","3/1/2020 - 3/31/2020, Every day, Daily Average",2552,2053,3171
"364","Big Ben Clock, 67 Bridge St, London","9","Southwark, 00BE (9)","3/1/2020 - 3/31/2020, Every day, Daily Average",1439,1105,1873
"364","Big Ben Clock, 67 Bridge St, London","10","Newham, 00BB (10)","3/1/2020 - 3/31/2020, Every day, Daily Average",1722,1275,2325
"364","Big Ben Clock, 67 Bridge St, London","11","Redbridge, 00BC (11)","3/1/2020 - 3/31/2020, Every day, Daily Average",2706,2070,3536
"364","Big Ben Clock, 67 Bridge St, London","14","Redbridge, 00BC (14)","3/1/2020 - 3/31/2020, Every day, Daily Average",2489,1852,3343
"364","Big Ben Clock, 67 Bridge St, London","15","Wandsworth, 00BJ (15)","3/1/2020 - 3/31/2020, Every day, Daily Average",1806,1397,2333
"364","Big Ben Clock, 67 Bridge St, London","16","Southwark, 00BE (16)","3/1/2020 - 3/31/2020, Every day, Daily Average",1340,1033,1736
"364","Big Ben Clock, 67 Bridge St, London","17","Wandsworth, 00BJ (17)","3/1/2020 - 3/31/2020, Every day, Daily Average",1408,1060,1869
"364","Big Ben Clock, 67 Bridge St, London","18","Westminster, 00BK (18)","3/1/2020 - 3/31/2020, Every day, Daily Average",1100,800,1511
"364","Big Ben Clock, 67 Bridge St, London","19","Westminster, 00BK (19)","3/1/2020 - 3/31/2020, Every day, Daily Average",1020,731,1422
"364","Big Ben Clock, 67 Bridge St, London","20","Westminster, 00BK (20)","3/1/2020 - 3/31/2020, Every day, Daily Average",919,663,1273
"364","Big Ben Clock, 67 Bridge St, London","21","City of London, 00AA (21)","3/1/2020 - 3/31/2020, Every day, Daily Average",692,410,1166
"364","Big Ben Clock, 67 Bridge St, London","22","Barking and Dagenham, 00AB (22)","3/1/2020 - 3/31/2020, Every day, Daily Average",2986,2190,4070
"364","Big Ben Clock, 67 Bridge St, London","23","Barking and Dagenham, 00AB (23)","3/1/2020 - 3/31/2020, Every day, Daily Average",2874,2144,3851
"364","Big Ben Clock, 67 Bridge St, London","25","Barking and Dagenham, 00AB (25)","3/1/2020 - 3/31/2020, Every day, Daily Average",2502,1935,3233
"364","Big Ben Clock, 67 Bridge St, London","26","Barking and Dagenham, 00AB (26)","3/1/2020 - 3/31/2020, Every day, Daily Average",2569,1924,3428
"364","Big Ben Clock, 67 Bridge St, London","27","Barking and Dagenham, 00AB (27)","3/1/2020 - 3/31/2020, Every day, Daily Average",2445,1956,3054
"364","Big Ben Clock, 67 Bridge St, London","28","Barking and Dagenham, 00AB (28)","3/1/2020 - 3/31/2020, Every day, Daily Average",2371,1788,3142
"364","Big Ben Clock, 67 Bridge St, London","29","Barking and Dagenham, 00AB (29)","3/1/2020 - 3/31/2020, Every day, Daily Average",2281,1756,2961
"364","Big Ben Clock, 67 Bridge St, London","32","Barking and Dagenham, 00AB (32)","3/1/2020 - 3/31/2020, Every day, Daily Average",2559,1731,3781
"364","Big Ben Clock, 67 Bridge St, London","33","Barking and Dagenham, 00AB (33)","3/1/2020 - 3/31/2020, Every day, Daily Average",2228,1587,3126
